page,page_num,winner_filename,selection_method,winner_score,layout_type,ad_type,category
page_181,181,page_181_semantic_3.csv,SCORE_CLEAR,75.91,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_182,182,page_182_semantic_3.csv,SCORE_TIED_RECENCY,74.59,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_183,183,page_183_semantic_2.csv,SCORE_TIED_RECENCY,76.6,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_184,184,page_184_semantic_2.csv,SCORE_TIED_RECENCY,79.19,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_185,185,page_185_semantic_2.csv,SCORE_TIED_RECENCY,77.7,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_186,186,page_186_semantic_3.csv,SCORE_TIED_RECENCY,74.07,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_187,187,page_187_semantic_3.csv,SCORE_TIED_RECENCY,76.85,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_188,188,page_188_semantic_3.csv,SCORE_TIED_RECENCY,79.0,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_189,189,page_189_semantic_3.csv,SCORE_TIED_RECENCY,76.68,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_190,190,page_190_semantic_2.csv,SCORE_TIED_RECENCY,77.75,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_191,191,page_191_semantic_2.csv,SCORE_TIED_RECENCY,78.3,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_192,192,page_192_semantic_3.csv,SCORE_TIED_RECENCY,73.59,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_193,193,page_193_semantic_3.csv,SCORE_TIED_RECENCY,73.92,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_194,194,page_194_semantic_3.csv,SCORE_TIED_RECENCY,79.02,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_195,195,page_195_semantic_2.csv,SCORE_TIED_RECENCY,78.42,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_196,196,page_196_semantic_3.csv,SCORE_TIED_RECENCY,74.86,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_197,197,page_197_semantic_3.csv,SCORE_TIED_RECENCY,74.29,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_198,198,page_198_semantic_2.csv,SCORE_TIED_RECENCY,78.04,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_199,199,page_199_semantic_2.csv,SCORE_TIED_RECENCY,79.2,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_200,200,page_200_semantic_3.csv,SCORE_CLEAR,76.69,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_201,201,page_201_semantic_2.csv,SCORE_TIED_RECENCY,79.32,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_202,202,page_202_semantic_2.csv,SCORE_CLEAR,75.9,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_203,203,page_203_semantic_2.csv,SCORE_TIED_RECENCY,79.61,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_204,204,page_204_semantic_3.csv,SCORE_CLEAR,79.25,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_205,205,page_205_semantic_2.csv,SCORE_TIED_RECENCY,79.34,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_206,206,page_206_semantic_2.csv,SCORE_TIED_RECENCY,76.46,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_207,207,page_207_semantic_2.csv,SCORE_CLEAR,74.83,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_208,208,page_208_semantic_3.csv,SCORE_CLEAR,77.67,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_209,209,page_209_semantic_2.csv,SCORE_TIED_RECENCY,77.47,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
