Name,Address,Location,Role,Additional Info,page,page_num,reason,source,Profession
Dr. Giuseppe Michieli,,,MARINA DA GUERRA,Dem. Crist.,38,38,out_of_scope_rome_government,nb05_unmatched,
Avv. Salvatore Aldisio,,,MARINA MERCANTILE,Dem. Crist.,38,38,out_of_scope_rome_government,nb05_unmatched,
Avv. Mario Cingolani,,,AERONAUTICA,Dem. Crist.,38,38,out_of_scope_rome_government,nb05_unmatched,
Dr. Guido Gonella,,,PUBBLICA ISTRUZIONE,Dem. Crist.,38,38,out_of_scope_rome_government,nb05_unmatched,
Ing. Giuseppe Romita,,,LAVORI PUBBLICI,Socialista,38,38,out_of_scope_rome_government,nb05_unmatched,
Ing. Giacomo Ferrari,,,TRASPORTI,Comunista,38,38,out_of_scope_rome_government,nb05_unmatched,
Avv. Prof. Antonio Segni,,,AGRICOLTURA,Dem. Crist.,38,38,out_of_scope_rome_government,nb05_unmatched,
Avv. Mario Scelba,,,POSTE E TELECOMUNICAZIONI,Dem. Crist.,38,38,out_of_scope_rome_government,nb05_unmatched,
Prof. Rodolfo Morandi,,,INDUSTRIA E COMMERCIO,Socialista,38,38,out_of_scope_rome_government,nb05_unmatched,
Ludovico D'Aragona,,,LAVORO E PREVIDENZA SOCIALE,Socialista,38,38,out_of_scope_rome_government,nb05_unmatched,
Dr. Emilio Sereni,,,ASSISTENZA POST-BELLICA,Comunista,38,38,out_of_scope_rome_government,nb05_unmatched,
Dr. Pietro Campilli,,,COMMERCIO CON L'ESTERO,Dem. Crist.,38,38,out_of_scope_rome_government,nb05_unmatched,
Dr. Cino Macrelli,,,Ministri senza portafoglio,Repubblicano,38,38,out_of_scope_rome_government,nb05_unmatched,
PAOLO CAPPA,,,PRESIDENZA DEL CONSIGLIO,,39,39,out_of_scope_rome_government,nb05_unmatched,
GIUSEPPE PELLA,,,AFFARI ESTERI,,39,39,out_of_scope_rome_government,nb05_unmatched,
GIUSEPPE BRUSASCA,,,AFFARI ESTERI,,39,39,out_of_scope_rome_government,nb05_unmatched,
GIUSEPPE LUPIS,,,ITALIANI ALL’ESTERO,,39,39,out_of_scope_rome_government,nb05_unmatched,
ANGELO CORSI,,,INTERNO,,39,39,out_of_scope_rome_government,nb05_unmatched,
ACHILLE MARAZZA,,,GRAZIA E GIUSTIZIA,,39,39,out_of_scope_rome_government,nb05_unmatched,
SALVATORE SCOCCA,,,FINANZE,,39,39,out_of_scope_rome_government,nb05_unmatched,
RAFFAELE PIO PETRILLI,,,TESORO,,39,39,out_of_scope_rome_government,nb05_unmatched,
VINCENZO CAVALLARI,,,DANNI DI GUERRA,,39,39,out_of_scope_rome_government,nb05_unmatched,
GIUSEPPE MONTALBANO,,,MARINA MERCANTILE,,39,39,out_of_scope_rome_government,nb05_unmatched,
VITO MARIO STAMPACCHIA,,,MARINA DA GUERRA,,39,39,out_of_scope_rome_government,nb05_unmatched,
GIOSUÈ FIORENTINO,,,AERONAUTICA,,39,39,out_of_scope_rome_government,nb05_unmatched,
GIUSEPPE BELLUSCI,,,PUBBLICA ISTRUZIONE,,39,39,out_of_scope_rome_government,nb05_unmatched,
PIER CARLO RESTAGNO,,,LAVORI PUBBLICI,,39,39,out_of_scope_rome_government,nb05_unmatched,
ANGELO RAFFAELE JERVOLINO,,,TRASPORTI,,39,39,out_of_scope_rome_government,nb05_unmatched,
VELIO SPANO,,,AGRICOLTURA E FORESTE,,39,39,out_of_scope_rome_government,nb05_unmatched,
ROBERTO TREMELLONI,,,INDUSTRIA E COMMERCIO,,39,39,out_of_scope_rome_government,nb05_unmatched,
GENNARO CASSIANI,,,LAVORO E PREVIDENZA SOCIALE,,39,39,out_of_scope_rome_government,nb05_unmatched,
GIUSEPPE CHIOSTERGI,,,COMMERCIO ESTERO,,39,39,out_of_scope_rome_government,nb05_unmatched,
LUIGI DE FILPO,,,POSTE E TELECOMUNICAZIONI,,39,39,out_of_scope_rome_government,nb05_unmatched,
ENRICO MARTINO,,,GUERRA,,39,39,out_of_scope_rome_government,nb05_unmatched,
LUIGI CHATRIAN,,,GUERRA,,39,39,out_of_scope_rome_government,nb05_unmatched,
LUIGI CACCIATORE,,,ASSISTENZA POST-BELLICA,,39,39,out_of_scope_rome_government,nb05_unmatched,
GIOVANNI CARIGNANI,,,ASSISTENZA POST-BELLICA,,39,39,out_of_scope_rome_government,nb05_unmatched,
