total,matched,pct,no_num,not_in_ref,no_sestiere,page_num,section
23,4,17.4,19,0,3,96,religious
85,29,34.1,48,8,42,97,religious
53,30,56.6,20,3,1,98,other
36,25,69.4,10,1,10,99,other
43,24,55.8,17,2,16,100,other
54,0,0.0,54,0,3,101,other
39,1,2.6,37,1,29,102,other
8,0,0.0,7,1,7,103,other
18,12,66.7,6,0,6,104,other
2,1,50.0,1,0,1,105,other
1,0,0.0,1,0,1,106,other
1,0,0.0,1,0,1,107,other
74,52,70.3,17,5,14,108,professionisti
107,71,66.4,29,7,28,109,professionisti
123,79,64.2,40,4,40,110,professionisti
128,76,59.4,43,9,43,111,professionisti
115,79,68.7,29,7,28,112,professionisti
121,70,57.9,37,14,32,113,professionisti
114,53,46.5,60,1,56,114,professionisti
114,36,31.6,76,2,75,115,professionisti
94,62,66.0,23,9,20,116,professionisti
66,33,50.0,32,1,25,117,professionisti
110,60,54.5,47,3,42,118,professionisti
110,75,68.2,29,6,26,119,professionisti
85,55,64.7,26,4,21,120,professionisti
122,122,100.0,0,0,0,121,professionisti
31,12,38.7,19,0,16,122,professionisti
115,94,81.7,9,12,9,123,professionisti
41,24,58.5,12,5,10,124,professionisti
15,13,86.7,0,2,0,125,professionisti
18,17,94.4,1,0,1,126,professionisti
27,20,74.1,3,4,3,127,professionisti
77,59,76.6,16,2,15,128,professionisti
2,1,50.0,1,0,1,129,other
2,0,0.0,2,0,2,130,other
1,0,0.0,1,0,1,131,other
30,17,56.7,12,1,9,132,industria
42,26,61.9,15,1,15,133,industria
23,15,65.2,6,2,6,134,industria
16,10,62.5,5,1,5,135,industria
33,28,84.8,4,1,3,136,industria
50,26,52.0,23,1,18,137,industria
54,6,11.1,47,1,44,138,industria
61,29,47.5,32,0,32,139,industria
74,51,68.9,19,4,19,140,industria
109,80,73.4,20,9,18,141,industria
116,90,77.6,11,15,11,142,industria
97,31,32.0,62,4,58,143,industria
53,38,71.7,13,2,11,144,industria
39,25,64.1,12,2,10,145,industria
76,45,59.2,5,26,2,146,industria
60,35,58.3,22,3,22,147,industria
30,19,63.3,8,3,6,148,industria
60,27,45.0,32,1,31,149,industria
37,4,10.8,33,0,33,150,industria
40,19,47.5,20,1,18,151,industria
56,4,7.1,52,0,52,152,industria
22,1,4.5,21,0,20,153,industria
73,16,21.9,48,9,41,154,industria
100,84,84.0,9,7,8,155,industria
104,60,57.7,35,9,31,156,industria
100,66,66.0,28,6,28,157,industria
19,8,42.1,11,0,11,158,industria
99,78,78.8,14,7,14,159,industria
3,3,100.0,0,0,0,160,industria
86,69,80.2,9,8,9,162,industria
96,71,74.0,18,7,16,163,industria
55,29,52.7,18,8,16,164,industria
67,40,59.7,24,3,24,165,industria
77,44,57.1,19,14,19,166,industria
21,13,61.9,5,3,3,167,industria
14,11,78.6,3,0,1,168,industria
27,19,70.4,4,4,1,169,industria
1,1,100.0,0,0,0,170,industria
1,1,100.0,0,0,0,171,industria
47,28,59.6,12,7,11,172,industria
59,42,71.2,14,3,14,173,industria
99,91,91.9,8,0,8,174,industria
49,26,53.1,20,3,20,175,industria
26,19,73.1,6,1,5,176,industria
52,34,65.4,17,1,17,177,industria
73,48,65.8,25,0,24,178,industria
50,28,56.0,20,2,19,179,industria
18,14,77.8,3,1,3,180,industria
15,15,100.0,0,0,0,181,industria
55,22,40.0,23,10,23,182,industria
101,50,49.5,41,10,38,183,industria
56,0,0.0,56,0,54,184,industria
51,17,33.3,32,2,30,185,industria
26,16,61.5,6,4,6,186,industria
48,35,72.9,10,3,10,187,industria
41,33,80.5,7,1,6,188,industria
28,10,35.7,12,6,11,189,industria
25,14,56.0,8,3,5,190,industria
44,28,63.6,15,1,15,191,industria
20,9,45.0,10,1,6,192,industria
20,11,55.0,7,2,7,193,industria
61,35,57.4,20,6,19,194,industria
55,42,76.4,10,3,10,195,industria
68,48,70.6,16,4,16,196,industria
41,24,58.5,16,1,16,197,industria
29,23,79.3,5,1,5,198,industria
64,34,53.1,16,14,13,199,industria
35,22,62.9,10,3,8,200,industria
66,37,56.1,24,5,24,201,industria
81,55,67.9,20,6,19,202,industria
118,71,60.2,41,6,39,203,industria
88,40,45.5,43,5,42,204,industria
58,38,65.5,16,4,16,205,industria
61,44,72.1,11,6,8,206,industria
30,16,53.3,10,4,10,207,industria
26,16,61.5,10,0,10,208,industria
51,33,64.7,13,5,13,209,industria
37,26,70.3,10,1,7,210,industria
80,59,73.8,15,6,9,211,industria
34,12,35.3,21,1,18,212,industria
75,44,58.7,29,2,28,213,industria
