page,page_num,n_runs_found,n_valid_runs,winner_filename,selection_method,winner_score,scores_tied,reason,all_scores,single_run_flag,ocr_file_found,timestamp
page_38,38,3,0,page_38_semantic_1.csv,EXCLUDED_FALLBACK,39.92,False,all_runs_excluded_picked_highest_score,page_38_semantic_1.csv=39.92; page_38_semantic_2.csv=39.92; page_38_semantic_3.csv=39.92,False,True,2026-06-28T20:17:18.074788
page_39,39,3,3,page_39_semantic_3.csv,SCORE_TIED_RECENCY,80.65,True,tied(gap=0.00)_recency(2026-05-07),page_39_semantic_1.csv=80.65; page_39_semantic_2.csv=80.65; page_39_semantic_3.csv=80.65,False,True,2026-06-28T20:17:26.823422
page_40,40,3,3,page_40_semantic_3.csv,SCORE_TIED_RECENCY,66.33,True,tied(gap=0.00)_recency(2026-05-07),page_40_semantic_1.csv=66.33; page_40_semantic_2.csv=66.33; page_40_semantic_3.csv=66.33,False,True,2026-06-28T20:17:34.912637
page_41,41,2,2,page_41_semantic_2.csv,SCORE_CLEAR,73.41,False,score_gap(73.41_vs_65.37),page_41_semantic_1.csv=65.37; page_41_semantic_2.csv=73.41,False,True,2026-06-29T14:51:54.854765
page_42,42,3,2,page_42_semantic_2.csv,SCORE_TIED_RECENCY,84.29,True,tied(gap=0.06)_recency(2026-05-07),page_42_semantic_1.csv=84.23; page_42_semantic_2.csv=84.29; page_42_semantic_3.csv=47.23,False,True,2026-06-28T20:17:48.324191
page_43,43,3,2,page_43_semantic_2.csv,SCORE_TIED_RECENCY,76.79,True,tied(gap=0.00)_recency(2026-05-07),page_43_semantic_1.csv=76.79; page_43_semantic_2.csv=76.79; page_43_semantic_3.csv=38.51,False,True,2026-06-28T20:17:54.974267
page_44,44,3,3,page_44_semantic_3.csv,SCORE_TIED_RECENCY,74.86,True,tied(gap=0.00)_recency(2026-05-07),page_44_semantic_1.csv=74.86; page_44_semantic_2.csv=51.93; page_44_semantic_3.csv=74.86,False,True,2026-06-28T20:18:02.938570
page_45,45,3,3,page_45_semantic_3.csv,SCORE_CLEAR,79.78,False,score_gap(79.78_vs_79.58),page_45_semantic_1.csv=79.58; page_45_semantic_2.csv=79.13; page_45_semantic_3.csv=79.78,False,True,2026-06-28T20:18:11.233204
page_46,46,3,3,page_46_semantic_3.csv,SCORE_TIED_RECENCY,63.38,True,tied(gap=0.00)_recency(2026-05-07),page_46_semantic_1.csv=63.38; page_46_semantic_2.csv=63.38; page_46_semantic_3.csv=63.38,False,True,2026-06-28T20:18:19.897424
page_47,47,3,3,page_47_semantic_3.csv,SCORE_TIED_RECENCY,61.29,True,tied(gap=0.00)_recency(2026-05-07),page_47_semantic_1.csv=61.29; page_47_semantic_2.csv=61.29; page_47_semantic_3.csv=61.29,False,True,2026-06-28T20:18:28.586960
page_48,48,3,3,page_48_semantic_3.csv,SCORE_TIED_RECENCY,75.1,True,tied(gap=0.00)_recency(2026-05-07),page_48_semantic_1.csv=75.10; page_48_semantic_2.csv=71.08; page_48_semantic_3.csv=75.10,False,True,2026-06-28T20:18:37.245984
page_49,49,3,3,page_49_semantic_3.csv,SCORE_TIED_RECENCY,75.16,True,tied(gap=0.00)_recency(2026-05-07),page_49_semantic_1.csv=75.16; page_49_semantic_2.csv=74.72; page_49_semantic_3.csv=75.16,False,True,2026-06-28T20:18:46.410492
page_50,50,3,3,page_50_semantic_3.csv,SCORE_TIED_RECENCY,78.76,True,tied(gap=0.00)_recency(2026-05-07),page_50_semantic_1.csv=78.76; page_50_semantic_2.csv=77.33; page_50_semantic_3.csv=78.76,False,True,2026-06-28T20:18:54.316403
page_51,51,3,3,page_51_semantic_3.csv,SCORE_TIED_RECENCY,72.03,True,tied(gap=0.00)_recency(2026-05-07),page_51_semantic_1.csv=72.03; page_51_semantic_2.csv=69.51; page_51_semantic_3.csv=72.03,False,True,2026-06-28T20:19:02.638945
page_52,52,3,3,page_52_semantic_2.csv,SCORE_TIED_RECENCY,80.31,True,tied(gap=0.00)_recency(2026-05-07),page_52_semantic_1.csv=80.31; page_52_semantic_2.csv=80.31; page_52_semantic_3.csv=78.88,False,True,2026-06-28T20:19:11.177260
page_53,53,3,3,page_53_semantic_3.csv,SCORE_CLEAR,78.22,False,score_gap(78.22_vs_76.55),page_53_semantic_1.csv=76.55; page_53_semantic_2.csv=76.55; page_53_semantic_3.csv=78.22,False,True,2026-06-28T20:19:18.794291
page_54,54,3,3,page_54_semantic_2.csv,SCORE_CLEAR,77.87,False,score_gap(77.87_vs_76.95),page_54_semantic_1.csv=76.95; page_54_semantic_2.csv=77.87; page_54_semantic_3.csv=76.95,False,True,2026-06-28T20:19:27.931139
page_55,55,3,3,page_55_semantic_3.csv,SCORE_TIED_RECENCY,75.01,True,tied(gap=0.00)_recency(2026-05-07),page_55_semantic_1.csv=75.01; page_55_semantic_2.csv=74.91; page_55_semantic_3.csv=75.01,False,True,2026-06-28T20:19:35.351227
page_56,56,3,3,page_56_semantic_2.csv,SCORE_TIED_RECENCY,78.01,True,tied(gap=0.00)_recency(2026-05-07),page_56_semantic_1.csv=78.01; page_56_semantic_2.csv=78.01; page_56_semantic_3.csv=77.80,False,True,2026-06-28T20:19:43.817744
page_57,57,3,3,page_57_semantic_3.csv,SCORE_CLEAR,76.85,False,score_gap(76.85_vs_75.06),page_57_semantic_1.csv=75.06; page_57_semantic_2.csv=75.06; page_57_semantic_3.csv=76.85,False,True,2026-06-28T20:19:52.932602
page_58,58,3,3,page_58_semantic_2.csv,SCORE_CLEAR,85.01,False,score_gap(85.01_vs_76.64),page_58_semantic_1.csv=76.64; page_58_semantic_2.csv=85.01; page_58_semantic_3.csv=76.64,False,True,2026-06-28T20:20:00.563160
page_59,59,3,3,page_59_semantic_3.csv,SCORE_TIED_RECENCY,61.07,True,tied(gap=0.00)_recency(2026-05-07),page_59_semantic_1.csv=61.07; page_59_semantic_2.csv=45.99; page_59_semantic_3.csv=61.07,False,True,2026-06-28T20:20:08.483001
page_60,60,3,3,page_60_semantic_3.csv,SCORE_CLEAR,79.95,False,score_gap(79.95_vs_73.47),page_60_semantic_1.csv=73.47; page_60_semantic_2.csv=73.46; page_60_semantic_3.csv=79.95,False,True,2026-06-28T20:20:16.416063
page_61,61,3,3,page_61_semantic_2.csv,SCORE_TIED_RECENCY,78.27,True,tied(gap=0.00)_recency(2026-05-07),page_61_semantic_1.csv=78.27; page_61_semantic_2.csv=78.27; page_61_semantic_3.csv=76.61,False,True,2026-06-28T20:20:24.485130
page_62,62,3,3,page_62_semantic_3.csv,SCORE_TIED_RECENCY,61.58,True,tied(gap=0.00)_recency(2026-05-07),page_62_semantic_1.csv=61.58; page_62_semantic_2.csv=60.15; page_62_semantic_3.csv=61.58,False,True,2026-06-28T20:20:32.058960
page_63,63,3,3,page_63_semantic_2.csv,SCORE_CLEAR,84.95,False,score_gap(84.95_vs_78.73),page_63_semantic_1.csv=78.53; page_63_semantic_2.csv=84.95; page_63_semantic_3.csv=78.73,False,True,2026-06-28T20:20:39.683184
page_64,64,3,3,page_64_semantic_2.csv,SCORE_TIED_RECENCY,77.63,True,tied(gap=0.00)_recency(2026-05-07),page_64_semantic_1.csv=77.63; page_64_semantic_2.csv=77.63; page_64_semantic_3.csv=75.02,False,True,2026-06-28T20:20:48.125068
page_65,65,3,3,page_65_semantic_2.csv,SCORE_TIED_RECENCY,78.64,True,tied(gap=0.00)_recency(2026-05-07),page_65_semantic_1.csv=78.64; page_65_semantic_2.csv=78.64; page_65_semantic_3.csv=77.87,False,True,2026-06-28T20:20:55.795217
page_66,66,3,3,page_66_semantic_3.csv,SCORE_TIED_RECENCY,75.96,True,tied(gap=0.00)_recency(2026-05-07),page_66_semantic_1.csv=75.96; page_66_semantic_2.csv=74.97; page_66_semantic_3.csv=75.96,False,True,2026-06-28T20:21:03.649074
page_67,67,3,3,page_67_semantic_3.csv,SCORE_TIED_RECENCY,72.49,True,tied(gap=0.00)_recency(2026-05-07),page_67_semantic_1.csv=72.49; page_67_semantic_2.csv=70.27; page_67_semantic_3.csv=72.49,False,True,2026-06-28T20:21:11.880941
page_68,68,3,3,page_68_semantic_3.csv,SCORE_CLEAR,77.79,False,score_gap(77.79_vs_76.46),page_68_semantic_1.csv=76.46; page_68_semantic_2.csv=76.46; page_68_semantic_3.csv=77.79,False,True,2026-06-28T20:21:19.999454
page_69,69,3,3,page_69_semantic_3.csv,SCORE_CLEAR,78.34,False,score_gap(78.34_vs_77.92),page_69_semantic_1.csv=77.92; page_69_semantic_2.csv=77.92; page_69_semantic_3.csv=78.34,False,True,2026-06-28T20:21:28.354023
page_70,70,3,3,page_70_semantic_3.csv,SCORE_CLEAR,75.45,False,score_gap(75.45_vs_73.78),page_70_semantic_1.csv=73.78; page_70_semantic_2.csv=73.78; page_70_semantic_3.csv=75.45,False,True,2026-06-28T20:21:36.837389
page_71,71,3,3,page_71_semantic_3.csv,SCORE_CLEAR,74.65,False,score_gap(74.65_vs_74.12),page_71_semantic_1.csv=74.12; page_71_semantic_2.csv=74.12; page_71_semantic_3.csv=74.65,False,True,2026-06-28T20:21:44.392349
page_72,72,3,3,page_72_semantic_2.csv,SCORE_CLEAR,74.54,False,score_gap(74.54_vs_74.40),page_72_semantic_1.csv=74.40; page_72_semantic_2.csv=74.54; page_72_semantic_3.csv=74.40,False,True,2026-06-28T20:21:52.148488
page_73,73,3,3,page_73_semantic_2.csv,SCORE_CLEAR,72.76,False,score_gap(72.76_vs_71.29),page_73_semantic_1.csv=71.29; page_73_semantic_2.csv=72.76; page_73_semantic_3.csv=71.29,False,True,2026-06-28T20:22:00.228392
page_74,74,3,3,page_74_semantic_3.csv,SCORE_CLEAR,77.66,False,score_gap(77.66_vs_76.75),page_74_semantic_1.csv=76.75; page_74_semantic_2.csv=76.75; page_74_semantic_3.csv=77.66,False,True,2026-06-28T20:22:07.549354
page_75,75,3,3,page_75_semantic_3.csv,SCORE_CLEAR,78.65,False,score_gap(78.65_vs_76.75),page_75_semantic_1.csv=76.75; page_75_semantic_2.csv=76.75; page_75_semantic_3.csv=78.65,False,True,2026-06-28T20:22:15.100752
page_76,76,3,3,page_76_semantic_3.csv,SCORE_TIED_RECENCY,73.79,True,tied(gap=0.00)_recency(2026-05-07),page_76_semantic_1.csv=73.79; page_76_semantic_2.csv=72.94; page_76_semantic_3.csv=73.79,False,True,2026-06-28T20:22:23.277861
page_77,77,3,3,page_77_semantic_2.csv,SCORE_CLEAR,76.22,False,score_gap(76.22_vs_74.64),page_77_semantic_1.csv=74.64; page_77_semantic_2.csv=76.22; page_77_semantic_3.csv=74.64,False,True,2026-06-28T20:22:31.138467
page_78,78,3,3,page_78_semantic_2.csv,SCORE_TIED_RECENCY,76.44,True,tied(gap=0.00)_recency(2026-05-07),page_78_semantic_1.csv=76.44; page_78_semantic_2.csv=76.44; page_78_semantic_3.csv=76.40,False,True,2026-06-28T20:22:38.967312
page_79,79,3,3,page_79_semantic_3.csv,SCORE_CLEAR,78.62,False,score_gap(78.62_vs_78.49),page_79_semantic_1.csv=78.49; page_79_semantic_2.csv=78.49; page_79_semantic_3.csv=78.62,False,True,2026-06-28T20:22:46.502566
page_80,80,3,3,page_80_semantic_3.csv,SCORE_CLEAR,77.19,False,score_gap(77.19_vs_75.77),page_80_semantic_1.csv=75.77; page_80_semantic_2.csv=75.77; page_80_semantic_3.csv=77.19,False,True,2026-06-28T20:22:54.657012
page_81,81,3,3,page_81_semantic_3.csv,SCORE_CLEAR,78.14,False,score_gap(78.14_vs_77.83),page_81_semantic_1.csv=77.83; page_81_semantic_2.csv=77.83; page_81_semantic_3.csv=78.14,False,True,2026-06-28T20:23:03.672484
page_82,82,3,3,page_82_semantic_3.csv,SCORE_TIED_RECENCY,74.93,True,tied(gap=0.00)_recency(2026-05-07),page_82_semantic_1.csv=74.93; page_82_semantic_2.csv=68.74; page_82_semantic_3.csv=74.93,False,True,2026-06-28T20:23:12.880487
page_83,83,3,3,page_83_semantic_3.csv,SCORE_TIED_RECENCY,75.36,True,tied(gap=0.00)_recency(2026-05-07),page_83_semantic_1.csv=75.36; page_83_semantic_2.csv=73.47; page_83_semantic_3.csv=75.36,False,True,2026-06-28T20:23:20.248319
page_84,84,3,3,page_84_semantic_2.csv,SCORE_TIED_RECENCY,75.91,True,tied(gap=0.00)_recency(2026-05-07),page_84_semantic_1.csv=75.91; page_84_semantic_2.csv=75.91; page_84_semantic_3.csv=75.54,False,True,2026-06-28T20:23:28.066136
page_85,85,3,3,page_85_semantic_3.csv,SCORE_TIED_RECENCY,73.75,True,tied(gap=0.10)_recency(2026-05-07),page_85_semantic_1.csv=73.65; page_85_semantic_2.csv=73.65; page_85_semantic_3.csv=73.75,False,True,2026-06-28T20:23:36.673109
page_86,86,3,3,page_86_semantic_2.csv,SCORE_CLEAR,87.22,False,score_gap(87.22_vs_83.86),page_86_semantic_1.csv=83.71; page_86_semantic_2.csv=87.22; page_86_semantic_3.csv=83.86,False,True,2026-06-28T20:23:45.857671
page_87,87,3,3,page_87_semantic_2.csv,SCORE_CLEAR,79.05,False,score_gap(79.05_vs_78.79),page_87_semantic_1.csv=78.79; page_87_semantic_2.csv=79.05; page_87_semantic_3.csv=78.74,False,True,2026-06-28T20:23:53.762928
page_88,88,3,3,page_88_semantic_3.csv,SCORE_CLEAR,77.72,False,score_gap(77.72_vs_75.72),page_88_semantic_1.csv=75.72; page_88_semantic_2.csv=75.72; page_88_semantic_3.csv=77.72,False,True,2026-06-28T20:24:01.071035
page_89,89,3,3,page_89_semantic_3.csv,SCORE_CLEAR,76.28,False,score_gap(76.28_vs_74.28),page_89_semantic_1.csv=74.28; page_89_semantic_2.csv=74.28; page_89_semantic_3.csv=76.28,False,True,2026-06-28T20:24:08.610768
page_90,90,3,3,page_90_semantic_3.csv,SCORE_CLEAR,78.66,False,score_gap(78.66_vs_76.74),page_90_semantic_1.csv=76.74; page_90_semantic_2.csv=76.74; page_90_semantic_3.csv=78.66,False,True,2026-06-28T20:24:16.338326
page_91,91,3,3,page_91_semantic_2.csv,SCORE_TIED_RECENCY,77.94,True,tied(gap=0.00)_recency(2026-05-07),page_91_semantic_1.csv=77.94; page_91_semantic_2.csv=77.94; page_91_semantic_3.csv=77.89,False,True,2026-06-28T20:24:24.137303
page_92,92,3,3,page_92_semantic_3.csv,SCORE_TIED_RECENCY,77.53,True,tied(gap=0.00)_recency(2026-05-07),page_92_semantic_1.csv=77.53; page_92_semantic_2.csv=77.53; page_92_semantic_3.csv=77.53,False,True,2026-06-28T20:24:32.044180
page_93,93,3,3,page_93_semantic_3.csv,SCORE_TIED_RECENCY,73.81,True,tied(gap=0.00)_recency(2026-05-07),page_93_semantic_1.csv=73.81; page_93_semantic_2.csv=73.81; page_93_semantic_3.csv=73.81,False,True,2026-06-28T20:24:39.741119
page_94,94,3,3,page_94_semantic_3.csv,SCORE_CLEAR,77.49,False,score_gap(77.49_vs_75.67),page_94_semantic_1.csv=75.67; page_94_semantic_2.csv=75.67; page_94_semantic_3.csv=77.49,False,True,2026-06-28T20:24:47.522980
page_95,95,3,3,page_95_semantic_3.csv,SCORE_CLEAR,76.77,False,score_gap(76.77_vs_75.06),page_95_semantic_1.csv=75.06; page_95_semantic_2.csv=75.06; page_95_semantic_3.csv=76.77,False,True,2026-06-28T20:24:55.305561
page_96,96,3,3,page_96_semantic_2.csv,SCORE_CLEAR,72.9,False,score_gap(72.90_vs_72.17),page_96_semantic_1.csv=72.17; page_96_semantic_2.csv=72.90; page_96_semantic_3.csv=72.17,False,True,2026-06-28T20:25:02.540430
page_97,97,3,3,page_97_semantic_3.csv,SCORE_TIED_RECENCY,77.08,True,tied(gap=0.00)_recency(2026-05-07),page_97_semantic_1.csv=77.08; page_97_semantic_2.csv=66.97; page_97_semantic_3.csv=77.08,False,True,2026-06-28T20:25:11.008948
page_98,98,3,3,page_98_semantic_2.csv,SCORE_TIED_RECENCY,78.12,True,tied(gap=0.00)_recency(2026-05-07),page_98_semantic_1.csv=78.12; page_98_semantic_2.csv=78.12; page_98_semantic_3.csv=77.65,False,True,2026-06-28T20:25:18.813896
page_99,99,3,3,page_99_semantic_2.csv,SCORE_TIED_RECENCY,76.67,True,tied(gap=0.00)_recency(2026-05-07),page_99_semantic_1.csv=76.67; page_99_semantic_2.csv=76.67; page_99_semantic_3.csv=74.99,False,True,2026-06-28T20:25:27.049885
page_100,100,3,3,page_100_semantic_2.csv,SCORE_CLEAR,73.79,False,score_gap(73.79_vs_72.60),page_100_semantic_1.csv=72.60; page_100_semantic_2.csv=73.79; page_100_semantic_3.csv=72.60,False,True,2026-06-28T20:25:34.503378
page_101,101,3,3,page_101_semantic_2.csv,SCORE_CLEAR,73.25,False,score_gap(73.25_vs_70.88),page_101_semantic_1.csv=70.88; page_101_semantic_2.csv=73.25; page_101_semantic_3.csv=70.88,False,True,2026-06-28T20:25:42.154652
page_102,102,3,3,page_102_semantic_3.csv,SCORE_CLEAR,75.25,False,score_gap(75.25_vs_73.61),page_102_semantic_1.csv=73.61; page_102_semantic_2.csv=73.61; page_102_semantic_3.csv=75.25,False,True,2026-06-28T20:25:49.648170
