Name,Address,Location,Category,Role,Profession,Additional Info,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,location_cleaned,fail_reason,nom_classification,geocoding_tier,match_confidence,nominatim_query,llm_cleaned_address,nominatim_flagged,matched_lat,matched_lon,is_provincia,provincia_town
Tornatore Dr. Cav. Paolo,(con sede distaccata a Mirano),,,Primo Pretore,al Porto di Venezia,",",,,56,page_56_semantic.csv,government,,,,,False,Town name only — centroid for mirano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4878,12.0859,,
Roberto Dr. Ambrigio,(con sede distaccata a Mirano),,,Pretore,al Porto di Venezia,",",,,56,page_56_semantic.csv,government,,,,,False,Town name only — centroid for mirano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4878,12.0859,,
Chiaradia avv. Alberto,(con sede distaccata a Mirano),,,Vice Pretore Onorario,al Porto di Venezia,",",,,56,page_56_semantic.csv,government,,,,,False,Town name only — centroid for mirano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4878,12.0859,,
Gentile Cav. Vincenzo,(con sede distaccata a Mirano),,,Cancelliere Dirigente,al Porto di Venezia,",",,,56,page_56_semantic.csv,government,,,,,False,Town name only — centroid for mirano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4878,12.0859,,
Panajotti Sergio,(con sede distaccata a Mirano),,,Lo Cancelliere,al Porto di Venezia,",",,,56,page_56_semantic.csv,government,,,,,False,Town name only — centroid for mirano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4878,12.0859,,
Chiampo Luigi,(con sede distaccata a Mirano),,,Aiutante di Cancelleria,al Porto di Venezia,",",,,56,page_56_semantic.csv,government,,,,,False,Town name only — centroid for mirano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4878,12.0859,,
Rossi Oreste,(con sede distaccata a Mirano),,,Aiutante di Cancelleria,al Porto di Venezia,",",,,56,page_56_semantic.csv,government,,,,,False,Town name only — centroid for mirano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4878,12.0859,,
Serena Giuseppe,(con sede distaccata a Mirano),,,Ufficiale Giudiziario,al Porto di Venezia,",",,,56,page_56_semantic.csv,government,,,,,False,Town name only — centroid for mirano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4878,12.0859,,
Autorimessa Guardia di Finanza,Piazza San Francesco,Mestre,,3. Legione Territoriale della Guardia di Finanza,,Direzione Marittima e Capitaneria di Porto di Venezia,,,60,page_60_semantic.csv,government,,,,,False,Town name only — centroid for mestre,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4943,12.2418,,
Cav. Venerio Umberto,Palazzo telefoni Mestre,,,Capo Ufficio Interurbano di Stato,Ufficio postale,,,,63,page_63_semantic.csv,government,,,,,False,Town name only — centroid for mestre,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4943,12.2418,,
