file,page_num,value,address_before,action
all_pages_20260721_1901_geocoded.csv,372,Castello 2158,"S. Croce 756, S. Marco 4579, S. Marco 4647, Cannaregio 1697-A, Cannaregio 1705, Cannaregio numero 4505, San Cassiano 1828, S. Angelo 3835",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,384,Cannaregio 3689,"S. Marco 5019, Lido, S. M. Elisabetta 14.A., S. Marco 724, Lido, Gran Viale 40, fdm, S. Severo 5005, S. Polo 218, S. Elena, Campo Tigrari 20, S. Croce 737, S. Marco 3448, Lido, Via Malamocco 9, Cannaregio 4449, Cannaregio 5617, Cannaregio, 5599-A, S. Polo 594, S. Polo 2804, P. Duo 2353, Cannaregio 8415, Ponte della Guerra num. 5964, Cannaregio, Ponte delle Guglie, 1318, Cannaregio 5607, Cannaregio 386, Lido, Via Malamocco 51, S. Marco 1843, S. Vio 628",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,386,Castello 2982,"Saccagnana 15-A, Castello 13, S. Marco 2629, S. Basegio 1908",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,393,Dorsoduro 880,San Marco 1757,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,393,D. Duro 2090,"San Marco 1757, San Polo 2605, San Marco 5228, San Marco numero 4791, S. Croce 1084, Via 22 Marzo numero 2283.A, S. Maria Formosa numero 4778, Via Tessera 445, Cannaregio 3710, San Marco numero 45.46.47, Dorsoduro 948, Via Garibaldi 1386, Castello numero 1455, Cannaregio, numero 3860, S. Polo 43, Cann. 3866, S. Elena 17, S. Angelo 3832, D. Duro 990, Cannaregio 1296, Dorsoduro numero 862, S. Lio 5449, S. Polo 1734, S. Marco 9721, Cannaregio numero 5435, S. Polo 2199, San Marco 4232, San Luca 4779, S. Samuele 3243.B, D. Duro 722, Castello 6655",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,393,Dorsoduro 200.B,"San Marco 1757, San Polo 2605, San Marco 5228, San Marco numero 4791, S. Croce 1084, Via 22 Marzo numero 2283.A, S. Maria Formosa numero 4778, Via Tessera 445, Cannaregio 3710, San Marco numero 45.46.47, Dorsoduro 948, Via Garibaldi 1386, Castello numero 1455, Cannaregio, numero 3860, S. Polo 43, Cann. 3866, S. Elena 17, S. Angelo 3832, D. Duro 990, Cannaregio 1296, Dorsoduro numero 862, S. Lio 5449, S. Polo 1734, S. Marco 9721, Cannaregio numero 5435, S. Polo 2199, San Marco 4232, San Luca 4779, S. Samuele 3243.B, D. Duro 722, Castello 6655",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,393,Giudecca 6n,"San Marco 1757, San Polo 2605, San Marco 5228, San Marco numero 4791, S. Croce 1084, Via 22 Marzo numero 2283.A, S. Maria Formosa numero 4778, Via Tessera 445, Cannaregio 3710, San Marco numero 45.46.47, Dorsoduro 948, Via Garibaldi 1386, Castello numero 1455, Cannaregio, numero 3860, S. Polo 43, Cann. 3866, S. Elena 17, S. Angelo 3832, D. Duro 990, Cannaregio 1296, Dorsoduro numero 862, S. Lio 5449, S. Polo 1734, S. Marco 9721, Cannaregio numero 5435, S. Polo 2199, San Marco 4232, San Luca 4779, S. Samuele 3243.B, D. Duro 722, Castello 6655, D. Duro 722, Lido. Gran Viale 82",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,393,San Marco numero 2954,"San Marco 1757, San Polo 2605, San Marco 5228, San Marco numero 4791, S. Croce 1084, Via 22 Marzo numero 2283.A, S. Maria Formosa numero 4778, Via Tessera 445, Cannaregio 3710, San Marco numero 45.46.47, Dorsoduro 948, Via Garibaldi 1386, Castello numero 1455, Cannaregio, numero 3860, S. Polo 43, Cann. 3866, S. Elena 17, S. Angelo 3832, D. Duro 990, Cannaregio 1296, Dorsoduro numero 862, S. Lio 5449, S. Polo 1734, S. Marco 9721, Cannaregio numero 5435, S. Polo 2199, San Marco 4232, San Luca 4779, S. Samuele 3243.B, D. Duro 722, Castello 6655, D. Duro 722, Lido. Gran Viale 82, Castello numero 3495-96, Mestre. Piazza Umberto 1, S. State numero 1851, S. Pantalon 6, S. Barnaba numero 3000, Castello numero 3852, Carpenedo, Via Pasqualigo 29, S. Croce 1157B, S. Marco numero 5292, Cann. 103, S. Marco 24, Mestre, Via 27 Ottobre 30, San Polo 1051, Mestre, Via Piave 80",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,409,Via Malamocco 47,"Castello 641, San Marco 4577-2081; Lido",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,411,San Polo numero 2001,San Polo numero 2001,duplicate_geocoded
