category,frequency,cluster_id,category_name
tintoria puliture a secco,1,0,"Textiles, clothing"
merletti ciconini,1,0,"Textiles, clothing"
Tessuti stampati e arti etici,1,0,"Textiles, clothing"
industria laterizi,1,0,"Textiles, clothing"
Sartoria e Confezioni per Signore,1,0,"Textiles, clothing"
Cartoleria Chinaglierie,1,0,"Textiles, clothing"
Maglieria (negozio),1,0,"Textiles, clothing"
Tossenti filati,1,0,"Textiles, clothing"
Laboratorio Fiale,1,0,"Textiles, clothing"
"seterie, merletti e ricami",1,0,"Textiles, clothing"
reti e articoli da pesca,1,0,"Textiles, clothing"
"Ferramenta, Utensileria, Articoli casalinghi",1,0,"Textiles, clothing"
sarda da uomo,1,0,"Textiles, clothing"
pelle (lavor. e commercio),1,0,"Textiles, clothing"
concerie e pelli,1,0,"Textiles, clothing"
tessuti alti,1,0,"Textiles, clothing"
coltelleria,1,0,"Textiles, clothing"
modelli abiti signore,1,0,"Textiles, clothing"
tintoria e pulitura a secco,1,0,"Textiles, clothing"
Sarto,1,0,"Textiles, clothing"
falegnamerie,1,0,"Textiles, clothing"
acqui di colonia,1,0,"Textiles, clothing"
confezioni,1,0,"Textiles, clothing"
saddlery,1,0,"Textiles, clothing"
perfumery,1,0,"Textiles, clothing"
laundry and ironing,1,0,"Textiles, clothing"
sewing goods,1,0,"Textiles, clothing"
dressmaker,1,0,"Textiles, clothing"
pelami e cuoio,1,0,"Textiles, clothing"
barbiere | Pescheria,1,0,"Textiles, clothing"
sartoria e confezioni,1,0,"Textiles, clothing"
lavanderia e stirerie,1,0,"Textiles, clothing"
"cordami, spaghi, filati",1,0,"Textiles, clothing"
Giornali (rivendita),1,0,"Textiles, clothing"
lingerie e maglieric,1,0,"Textiles, clothing"
profumi e affini (fab. brcia),1,0,"Textiles, clothing"
sarto a uomo,1,0,"Textiles, clothing"
articoli sanitari,1,0,"Textiles, clothing"
Imballaggi,1,0,"Textiles, clothing"
Ditta Cecchiotti,1,0,"Textiles, clothing"
Industria editoriale San Fantin,1,0,"Textiles, clothing"
scatole carta cartoni ed affini,1,0,"Textiles, clothing"
"stoffe, tessuti, lingerie e maglierie",1,0,"Textiles, clothing"
Stoffe per arredamenti,1,0,"Textiles, clothing"
Colletlico Italialee,1,0,"Textiles, clothing"
