category_value,override_name,cluster_id,default_name_would_have_been
Bigiotterie,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Quadri,"Decorative arts, photography, antiques & artisan crafts",2,general retail
quadri,"Decorative arts, photography, antiques & artisan crafts",2,general retail
cornice,"Decorative arts, photography, antiques & artisan crafts",2,general retail
ebanista,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Ebanisti,"Decorative arts, photography, antiques & artisan crafts",2,general retail
vetroflex,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Vetroflex,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Plexiglas,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Conterie ar-pe-le,"Decorative arts, photography, antiques & artisan crafts",2,general retail
"incisore, cesellatore, sbalzatore","Decorative arts, photography, antiques & artisan crafts",2,general retail
incisore,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Ottonai,"Decorative arts, photography, antiques & artisan crafts",2,general retail
hottigliocristai.,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Porcellane,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Terragliole,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Francobolli,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Doratura,"Decorative arts, photography, antiques & artisan crafts",2,general retail
stucchi,"Decorative arts, photography, antiques & artisan crafts",2,general retail
cortele e e perle,"Decorative arts, photography, antiques & artisan crafts",2,general retail
carpentire,"Decorative arts, photography, antiques & artisan crafts",2,general retail
lapidi marini,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Bronzi,"Decorative arts, photography, antiques & artisan crafts",2,general retail
bronzi,"Decorative arts, photography, antiques & artisan crafts",2,general retail
"cotellajuai, arrottini, minio","Office equipment, electrical, mechanical & industrial trades",2,general retail
"elttricità econo, nizatori","Office equipment, electrical, mechanical & industrial trades",2,general retail
bandaio e fattirone,"Office equipment, electrical, mechanical & industrial trades",2,general retail
bandaio lattoniere,"Office equipment, electrical, mechanical & industrial trades",2,general retail
radio e radio; alumunofni,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Radio,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Telecommunication,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Zinografia,"Office equipment, electrical, mechanical & industrial trades",2,general retail
accumulatori,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Accumulatóri,"Office equipment, electrical, mechanical & industrial trades",2,general retail
